Subject,Age,BFI1,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI2,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI3,BFI30,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,Education,Ethnicity_1,Ethnicity_2_01,Ethnicity_2_02,Ethnicity_2_03,Ethnicity_2_04,Ethnicity_2_05,Ethnicity_2_06,Gender,PO_Econ,PO_Gen,PO_Soc,a01accon,a01acinc,a01incon,a01ininc,a02accon,a02acinc,a02incon,a02ininc,a03accon,a03acinc,a03incon,a03ininc,a04accon,a04acinc,a04incon,a04ininc,a05accon,a05acinc,a05incon,a05ininc,a06accon,a06acinc,a06incon,a06ininc,a07accon,a07acinc,a07incon,a07ininc,a08accon,a08acinc,a08incon,a08ininc,a09accon,a09acinc,a09incon,a09ininc,a10accon,a10acinc,a10incon,a10ininc,a11accon,a11acinc,a11incon,a11ininc,a12accon,a12acinc,a12incon,a12ininc,ta01accon,ta01acinc,ta01incon,ta01ininc,ta02accon,ta02acinc,ta02incon,ta02ininc,ta03accon,ta03acinc,ta03incon,ta03ininc,ta04accon,ta04acinc,ta04incon,ta04ininc,ta05accon,ta05acinc,ta05incon,ta05ininc,ta06accon,ta06acinc,ta06incon,ta06ininc,ta07accon,ta07acinc,ta07incon,ta07ininc,ta08accon,ta08acinc,ta08incon,ta08ininc,ta09accon,ta09acinc,ta09incon,ta09ininc,ta10accon,ta10acinc,ta10incon,ta10ininc,ta11accon,ta11acinc,ta11incon,ta11ininc,ta12accon,ta12acinc,ta12incon,ta12ininc,td01accon,td01acinc,td01incon,td01ininc,td02accon,td02acinc,td02incon,td02ininc,td03accon,td03acinc,td03incon,td03ininc,td04accon,td04acinc,td04incon,td04ininc,td05accon,td05acinc,td05incon,td05ininc,td06accon,td06acinc,td06incon,td06ininc,td07accon,td07acinc,td07incon,td07ininc,td08accon,td08acinc,td08incon,td08ininc,td09accon,td09acinc,td09incon,td09ininc,td10accon,td10acinc,td10incon,td10ininc,td11accon,td11acinc,td11incon,td11ininc,td12accon,td12acinc,td12incon,td12ininc,missing_data,sum_action_proscript_greatbenef,sum_action_proscript_smallbenef,sum_action_prescript_greatbenef,sum_action_prescript_smallbenef,sum_inaction_proscript_greatbenef,sum_inaction_proscript_smallbenef,sum_inaction_prescript_greatbenef,sum_inaction_prescript_smallbenef,C,I,N,BFI1R,BFI21R,BFI26R,BFI7R,BFI17R,BFI27R,BFI3R,BFI8R,BFI28R,BFI14R,BFI19R,BFI24R,BFI10R,BFI20R,BFI30R,Extra,Agree,Con,Neuro,Open,C_artificial,N_artificial,I_artificial
59,18.0,2,3,4,4,2,4,2,4,4,2,2,4,3,2,4,4,4,4,1,5,2,1,4,4,4,5,4,4,4,2,2,1,1,0,0,0,0,0,2,6,5,3,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,1,1,3219,19797,2833,6438,3542,4233,12719,11860,2768,3126,4283,4572,1880,2811,2404,2225,3638,2180,5115,12671,1955,2609,2485,3453,3563,22265,4123,4718,2361,3800,2244,14309,2624,1978,19250,3927,2322,7462,3111,25625,5769,5447,11640,9639,2464,1815,1899,1732,10479,22627,18780,27549,15203,12863,18279,23048,25123,11469,16267,47649,13108,19674,32906,9353,19749,12892,18652,25126,17247,11412,29880,49797,21246,25290,28799,19196,28781,22469,18960,27298,16999,10043,32550,17404,36197,22826,31142,69050,24205,15219,25029,25566,16952,8180,26556,37970,0,3,0,11,7,9,12,1,5,0.2821,1.0,0.86454,4,4,5,2,2,1,2,2,4,2,4,2,3,3,2,4.16666666666667,2.83333333333333,2.66666666666667,2.5,3.16666666666667,0.318,0.805,0.644
60,20.0,4,4,4,3,5,3,2,4,2,5,3,5,4,2,5,5,4,4,1,4,2,4,1,4,4,2,5,4,2,3,2,2,1,0,0,0,0,<Cancel>,1,4,4,4,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,5579,5195,1718,7201,1632,3402,4027,10584,4173,1814,5391,12047,5062,5048,2521,1782,4463,3468,3386,6958,4548,3980,2058,3606,3880,15126,3790,4275,3032,1880,2591,4037,5141,2531,5852,3400,2765,1980,5463,9942,4419,4406,12355,4360,3533,1598,2431,16513,5421,15390,6318,7171,7852,13959,5914,18000,11448,5934,2479,23187,2157,7483,12123,5151,4032,2438,4623,17480,11120,11274,4469,21810,4069,2911,21418,2934,23578,2546,7128,1853,3438,3829,20552,13387,2336,14364,10460,24281,1328,5488,17354,1876,1428,7612,6401,15765,0,6,3,9,7,6,9,3,5,0.20734,0.46423,0.36706,2,4,5,2,4,2,5,4,4,3,3,2,2,2,2,4.0,3.5,4.66666666666667,3.16666666666667,2.33333333333333,0.0,1.0,1.0
61,38.0,4,2,1,3,4,2,2,3,3,4,1,5,3,3,4,4,3,4,4,3,3,4,4,4,5,4,4,3,5,5,3,2,1,0,0,0,0,0,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2013,6046,2189,10005,110298,12109,12358,16172,2545,12574,2812,5788,1873,1801,2973,3211,2019,16617,2593,18677,2054,13801,8563,7516,1804,17097,5111,3620,2478,26420,1650,3311,16553,4680,5800,6516,2615,2272,1895,2532,3124,5951,12798,5703,1823,1856,1823,1546,15936,19544,12171,22823,34823,12824,25529,30395,16639,21534,27467,24116,21108,27451,41344,10192,22185,20327,13720,30810,21736,11681,22541,28659,31096,29566,36510,27103,27788,18454,21743,33562,24089,26854,34449,22320,17379,24626,21279,33842,15565,20607,37904,15605,37105,19864,20752,22710,0,6,1,12,9,6,11,0,3,0.31406,0.0,0.835,2,3,2,3,3,3,2,1,3,4,5,3,4,3,2,2.5,3.5,3.0,4.33333333333333,3.16666666666667,0.083,0.958,0.917
62,18.0,4,2,2,3,3,2,3,4,2,2,2,5,4,3,4,2,3,4,5,3,4,2,4,2,5,4,3,4,4,3,3,2,0,0,0,1,0,0,2,6,6,3,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2607,13957,4732,3295,2768,2932,4799,4142,1939,2602,7168,4455,2164,2571,6492,3409,2705,2669,3591,4730,3761,2006,3633,4707,6182,2847,7616,3673,2300,4311,5456,8077,3368,1943,5038,6648,3546,1924,1683,2527,3441,3814,2864,6142,2281,1537,1474,1688,2178,28147,3436,11748,7084,7909,5093,27704,4254,1596,13544,22071,3916,13676,21733,2630,5304,7778,4345,16817,7391,5110,33824,32835,2917,10519,30956,4850,83108,6813,3639,1754,9078,1958,43545,1524,2245,3265,2777,40157,9992,1801,22511,5157,25945,1974,2943,17972,0,3,2,10,8,9,10,2,4,0.12281,0.55007,0.61693,2,3,1,2,4,3,2,2,2,4,4,3,4,2,4,2.5,3.5,2.16666666666667,3.5,3.5,0.125,1.0,0.83
63,22.0,2,3,4,3,4,4,2,3,2,2,4,3,2,3,4,2,4,3,4,3,4,2,4,3,4,5,2,4,4,2,3,2,1,0,0,1,0,0,1,4,4,4,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,5545,6955,3810,3982,3688,6800,2938,55669,1377,2897,3067,4806,1510,2734,5669,5153,13466,2206,7659,2663,1530,4631,2593,2186,1596,2137,1759,2100,3616,3266,6248,9374,3883,4875,10223,12312,2906,6876,1398,5777,3159,12904,6040,4811,3373,3941,1645,36175,5722,29877,16501,20189,11125,21766,13091,52072,11283,21517,13857,55589,13534,6267,46074,21641,27639,25046,15095,31563,10325,20154,29494,45892,26427,31419,43162,46201,36186,28332,24204,21686,19031,6391,23625,11003,13971,11593,8245,44182,18736,10230,26185,25064,20047,17865,14580,25296,0,3,0,7,5,9,12,5,7,0.22747,1.0,0.5,4,3,2,2,4,3,2,2,2,2,2,2,3,4,3,3.0,3.16666666666667,2.33333333333333,2.33333333333333,3.33333333333333,0.333,0.742,0.742
64,18.0,2,2,4,4,4,4,4,5,2,4,4,4,2,2,4,4,4,4,4,3,4,4,3,1,5,5,4,3,4,2,2,2,1,0,0,0,0,0,2,3,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,3344,32528,3157,15591,3066,3119,2920,11172,2449,5346,2560,37449,4948,56814,28726,3712,10967,17549,3292,4892,1981,1866,1709,10416,3411,2553,3135,19815,3570,1579,8515,10078,6924,3514,10927,12561,3151,10309,2252,9398,7065,4903,3630,3196,2299,2298,1344,2003,9323,28529,10740,10453,13456,23541,13355,17130,5580,7579,20019,28718,6012,12249,27696,24572,35373,11344,19099,28834,25040,10400,13048,33139,41938,19510,26450,22744,31987,18370,14044,19235,6963,6654,20862,13707,14021,36536,10560,73740,19404,19458,22682,5896,25595,14093,9224,21968,0,3,1,9,10,9,11,3,2,0.05634,0.58876,0.66371,4,4,2,3,4,3,3,2,2,2,2,2,4,4,5,3.83333333333333,3.66666666666667,3.16666666666667,2.83333333333333,4.33333333333333,0.25,0.867,0.606
65,18.0,3,4,4,3,3,2,1,3,5,2,2,2,4,5,4,3,2,5,4,4,4,5,4,1,3,1,2,4,4,4,2,2,1,0,0,0,0,0,2,4,3,4,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,3604,2581,2214,4267,3251,6334,4878,7972,4515,2860,4586,6470,2307,3082,2895,2814,2843,25554,3536,5033,5232,2013,3844,3124,2875,2566,4916,8710,3687,2214,4498,3532,6389,2268,11222,4047,3811,3947,2816,18705,6079,4764,9986,6260,2572,3376,3222,2499,12953,18379,12895,15515,17297,15868,15099,40472,11454,17910,15568,31145,15951,19188,27073,14140,33516,32431,16260,29670,18407,19235,21650,57476,19505,165832,30752,19828,34793,13031,9488,16173,6402,15933,28538,26063,27064,44917,19540,53440,12097,13944,20200,27686,16631,15485,32040,42560,0,5,2,10,7,7,10,2,5,0.25,0.5,0.55555,3,1,2,2,1,2,2,2,2,4,4,4,2,2,5,2.5,2.33333333333333,2.33333333333333,4.0,2.66666666666667,0.125,0.917,0.917
66,18.0,2,2,4,5,5,4,3,4,2,5,3,5,2,2,5,5,5,5,4,2,4,2,1,2,4,4,3,2,2,2,2,2,0,0,0,1,0,0,2,3,5,3,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2263,31373,2091,5969,2699,2938,4056,8253,3687,2923,2969,4781,2347,2743,4762,17454,1855,3183,5797,4671,2640,3298,2142,3567,3544,15599,3331,7295,3077,2548,4099,5281,5416,3357,9635,3109,4297,3739,1879,3022,7175,13352,9142,4487,4682,2309,3297,5453,6637,12909,19846,13346,10217,12864,11909,22278,12015,8396,22864,21265,13376,11524,14165,5797,12235,8059,8608,14533,13496,14103,13173,38626,10362,24050,26603,10124,24901,9304,11105,5374,12585,18100,21108,9925,12390,10803,5891,24228,25373,7117,25123,15159,14377,11972,6063,16685,0,2,2,12,12,10,10,0,0,0.0,0.0,0.83333,4,4,2,4,4,4,5,4,2,2,3,1,4,4,4,3.5,4.5,4.33333333333333,2.33333333333333,4.0,0.208,0.917,0.833
67,18.0,2,2,4,5,5,5,3,5,2,5,2,5,2,2,5,5,5,5,2,3,4,5,2,3,4,3,3,1,2,3,2,1,0,0,0,0,0,I am Latino  but do not consider myself white although this is technically the box I am suppose to check,2,4,3,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,2333,8997,2841,6707,2439,16093,10253,19231,2947,4229,7538,6685,4330,4908,9234,4690,14456,10785,3027,5432,3059,2215,3411,2332,3284,4368,4225,4865,5831,2299,2439,5669,5981,3484,25193,2872,3986,2803,4800,27958,6021,13170,10281,13825,3879,1861,1984,4825,13780,24268,13505,45124,28904,14534,23609,21334,27758,16248,37119,26338,14388,24644,25998,7715,18127,26309,19175,23365,39498,19535,19886,39071,21160,39425,42525,22605,49228,27692,14546,23138,17874,12833,28175,20412,20217,42668,15353,50467,25346,22266,28297,20065,23817,20694,28818,24314,0,5,1,11,4,7,11,1,8,0.44965,0.66946,0.6619,4,4,4,5,4,3,4,4,2,1,4,1,4,4,3,4.0,4.5,4.16666666666667,3.0,3.66666666666667,0.25,0.913,0.667
68,18.0,4,3,4,4,4,4,5,4,4,4,4,3,4,3,5,4,4,4,2,2,4,2,3,3,3,4,4,4,4,4,2,2,0,1,0,0,0,0,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,1,1,3832,7170,2353,4377,7770,10653,5609,4574,3387,8988,3703,3693,3916,2864,8426,4162,3424,3833,5749,6735,2954,4386,8088,5441,14139,6426,10141,7610,5218,2610,4240,3874,2616,5299,5123,3319,3259,8339,5079,5428,8143,8388,5875,3919,5234,2720,3699,2553,8858,50083,9827,30859,2747,16725,21953,28946,14068,19231,69290,35183,28596,18293,52212,8832,31387,33001,5874,22315,31481,9095,3464,38532,6778,27936,64753,3783,46900,38655,9032,8285,55191,10879,40025,11034,34488,53019,7188,61741,23210,8598,45774,31472,27097,3951,10341,33762,0,4,3,10,10,8,9,2,2,0.03366,0.35559,0.56002,2,3,4,2,2,4,3,2,2,2,2,2,3,2,3,3.5,3.33333333333333,3.16666666666667,2.5,3.5,0.167,1.0,0.75
69,23.0,4,3,4,2,4,4,3,4,4,2,4,4,3,2,4,4,4,3,1,5,5,2,2,3,4,2,3,4,5,2,3,2,0,1,0,0,0,0,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1279,3923,2198,13707,3318,2089,7317,9654,4790,1621,7565,4608,997,15764,6782,4073,3524,3281,2706,9034,2403,2206,1458,2281,1713,5119,7298,1004,3064,2241,2205,3185,7877,1695,4194,1085,1025,3391,869,1053,3422,4374,6657,1672,1960,1474,4023,9511,1314,30187,15599,16335,14057,14590,27695,23703,1308,1834,16186,18376,3365,15201,43790,6706,25760,1206,11888,2275,13228,1659,3131,18656,11745,40391,6267,3150,30346,4053,8539,24362,12148,2321,45723,3789,8731,48268,6703,1559,22598,1724,26085,1515,40912,1698,18763,21353,0,4,4,10,7,8,8,2,5,0.13136,0.44255,0.43426,2,4,5,2,2,1,4,1,1,2,2,2,3,3,3,3.66666666666667,2.5,2.66666666666667,2.33333333333333,2.83333333333333,0.358,0.767,0.708
70,18.0,5,3,3,3,5,5,4,2,5,4,5,4,3,2,4,4,5,4,2,4,4,3,2,2,4,4,4,4,4,3,2,2,0,0,0,1,0,0,1,5,5,5,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,4682,6893,2032,3912,1836,2566,4589,8137,3131,2275,5664,3959,2095,3065,2898,3110,4138,5340,2191,6971,1637,2516,3922,2974,2919,8613,2643,8896,2700,3208,2694,12978,4674,5898,11348,2481,1627,5424,1845,1908,3608,2368,6906,9884,1972,1421,1534,3252,11748,20818,13858,16562,19492,16574,12206,26415,17362,10797,9724,45827,9562,7873,19652,9066,10333,27342,14506,25460,24048,9492,2467,39384,34822,9756,31986,1733,33551,31198,7151,1895,12218,11032,23310,20047,2923,5645,14821,32630,8363,5342,33925,16726,25201,13171,10981,23191,0,4,1,9,7,8,11,3,5,0.21561,0.71152,0.58865,1,4,4,2,1,2,4,2,2,1,1,1,3,3,4,3.0,2.66666666666667,3.5,2.16666666666667,3.66666666666667,0.125,0.917,0.792
71,20.0,4,1,4,2,5,2,4,4,1,4,2,4,2,2,5,4,5,5,1,2,2,5,2,2,5,4,4,2,4,2,3,2,0,0,0,1,0,0,1,5,6,6,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,4438,3273,2167,2715,2358,3242,18817,5414,3408,2232,4416,6671,2517,4840,5341,8054,7014,3105,2266,4248,1821,1638,1953,4107,2687,7975,9513,8897,5277,1510,1871,8835,3334,2327,5626,3547,4825,3870,2252,2658,2754,4671,6681,10066,2206,1502,2346,1928,17006,19923,6691,12797,4655,7851,4638,16342,17362,12193,4064,26775,4194,9983,12807,4134,22353,19354,12447,22795,6699,6136,19055,36447,10589,14509,31418,26921,45677,6411,7455,7820,10458,3884,52099,8509,4504,17900,15450,29954,9168,5083,37313,3394,23576,59455,13288,17608,0,0,1,10,10,12,11,2,2,0.0,0.8,0.79167,2,4,5,4,5,4,4,2,4,4,4,1,5,4,4,3.83333333333333,4.0,3.83333333333333,3.5,4.33333333333333,0.212,0.83,0.697
72,18.0,5,2,4,4,5,2,2,3,2,3,2,5,3,5,5,4,2,2,3,2,4,5,4,3,5,5,2,4,4,5,3,2,0,0,0,1,0,0,2,3,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,3072,6858,1595,3041,3366,2094,6022,6047,2477,1703,7999,6062,3291,2319,4202,4394,2967,2455,2414,5024,1508,2292,2682,1858,2647,3205,3239,7995,3105,1725,2607,2528,2135,2599,2985,6159,3373,2004,2896,3485,3328,2641,6580,2577,5968,3251,1366,2138,12406,23341,12259,13373,16756,9951,18069,17376,12923,13747,13949,18599,7018,13500,23558,6102,11477,9955,11915,13003,16766,43899,22244,20588,20953,27922,29318,18817,26921,7579,6972,10915,9508,8587,18448,19726,16682,12276,21809,15509,18311,8562,24528,17533,2217,9766,13448,17703,0,8,2,10,7,4,10,2,5,0.36671,0.36961,0.44346,1,1,3,2,4,4,2,2,2,4,4,4,4,3,3,2.33333333333333,4.0,3.0,4.5,3.16666666666667,0.083,1.0,0.917
73,21.0,5,1,3,4,5,3,4,2,2,4,3,4,3,3,4,4,4,4,2,2,2,3,2,2,4,5,3,2,2,4,3,2,1,0,0,0,0,0,1,3,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,4454,3401,2704,3416,2692,3358,3976,24368,2296,3337,9946,9722,2351,3587,2586,5261,3425,3653,3438,4448,2662,2031,2502,5092,2835,4706,3742,7248,3330,2047,2163,6719,4341,2594,7438,3264,2164,3301,2891,15656,5701,2722,5988,5334,7306,2292,3032,1573,11271,22499,33514,16393,41109,11711,23694,22434,20606,13427,16351,35643,9541,10691,19217,11842,13335,47314,14062,30218,11521,12794,31861,38668,21635,26154,51137,21953,32828,20754,17549,33326,9190,16956,26599,29907,27593,25102,24922,38005,5628,27641,21731,32858,2450,18787,31093,24704,0,4,2,11,6,8,10,1,6,0.29265,0.48782,0.64885,1,3,4,4,4,4,4,4,4,3,3,2,5,3,4,2.66666666666667,4.0,4.16666666666667,3.16666666666667,4.16666666666667,0.133,0.909,0.792
74,19.0,2,1,4,4,4,3,4,3,1,4,5,5,1,3,4,4,2,4,1,2,3,2,2,1,1,5,3,1,3,2,2,1,0,0,0,0,0,0,1,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1404,1649,1311,2398,2356,2276,2294,1805,2638,1511,2468,2766,2109,1638,2659,4302,1699,2251,2291,1766,1099,1189,1634,3326,1403,1931,3388,2313,2266,1075,2814,2200,1543,2082,9825,2798,1512,2484,1936,3782,2582,3333,4132,1970,2986,2057,1645,1432,11317,16622,16078,16375,12810,11712,17801,13601,12314,9590,13705,22217,13456,17205,22193,17442,18236,14401,18797,21671,16753,8304,15206,28075,27591,24580,30763,22240,30406,16800,24006,16812,18025,6962,40564,15518,15405,26340,11474,62202,18371,9997,31464,20551,14254,12261,25974,52538,0,6,0,9,5,6,12,3,7,0.43593,1.0,0.63267,4,3,5,5,5,4,4,3,3,3,1,4,5,5,5,3.66666666666667,4.5,3.66666666666667,2.16666666666667,4.66666666666667,0.083,1.0,0.833
75,19.0,2,3,4,3,4,4,3,4,2,4,2,3,3,1,5,3,2,4,2,4,2,2,4,2,5,4,5,4,4,4,3,1,1,0,0,0,0,0,2,5,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2778,17114,2177,6899,3606,6217,5804,12601,2709,2697,5563,6431,3469,4846,4651,3598,8406,2704,4285,4116,3822,2114,2362,3587,4139,6332,3374,2990,3325,2734,7080,2776,3712,4120,10807,4251,4573,12313,2949,5021,4954,4639,12647,3678,2672,2782,2724,14665,13496,19903,16297,31586,21567,11714,17688,23525,19643,17407,9187,28370,24118,25428,27559,14670,10314,23769,23851,19160,30298,23798,27389,22809,2781,8194,30079,39078,25683,8218,13130,33095,10160,15141,26913,27009,23774,14115,12070,40881,17586,24262,22795,34682,17981,28023,20791,88132,0,3,3,9,6,9,9,3,6,0.11252,0.60898,0.41829,4,5,4,2,4,2,2,2,4,2,4,4,3,3,4,4.33333333333333,3.16666666666667,3.16666666666667,3.5,3.5,0.292,0.725,0.708
76,18.0,2,2,4,4,5,5,4,4,1,5,5,4,1,2,5,5,4,5,2,1,2,1,1,2,4,4,5,2,1,2,2,2,1,0,0,0,0,0,2,2,3,5,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2139,3141,2063,6303,5015,2271,4420,9335,3141,2846,6424,2568,1883,1587,9342,2624,2011,1418,2587,2855,2457,1532,2399,2712,2256,2051,2530,5432,2407,1461,1960,2329,2676,1890,6973,4588,4545,1862,2362,2335,6865,4338,7753,4101,2049,1724,1937,2226,8453,25401,13703,20713,11552,9232,15817,34971,27970,10407,7790,34908,13138,13527,28011,18567,32198,15890,11465,15874,38026,11443,27759,45261,19266,76595,33794,21163,44985,27427,19236,33408,26131,32689,41852,29116,19260,26145,20413,54814,24904,14657,29475,39039,28834,54331,25868,26431,0,6,1,8,4,6,11,4,8,0.38018,0.77008,0.35072,4,4,4,4,5,5,5,5,4,1,1,2,4,5,4,4.16666666666667,4.5,4.83333333333333,1.83333333333333,4.33333333333333,0.167,0.958,0.75
77,21.0,2,4,4,1,5,5,3,4,5,2,5,3,5,2,5,5,5,5,2,5,5,4,2,2,1,1,5,3,4,1,3,2,0,0,0,1,0,0,1,5,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,1,1,1,2,2,1,1,2057,18117,1441,14112,1816,3640,2906,3267,2170,1550,5610,5796,1642,1576,2985,1740,9924,3309,2740,7234,1382,1204,1776,5859,2619,2788,7484,2059,2067,2252,3078,3079,2514,2858,1690,2067,2484,4000,1573,2634,3905,2563,4858,2909,2578,1954,2392,9971,10363,9637,15456,9769,38641,7572,18567,16357,11781,12112,12655,14277,15673,12815,18214,9734,13659,10172,6513,9847,11829,21310,20568,21780,13725,15536,22860,17223,19323,18480,11683,18876,17845,7562,25968,13606,15994,15168,10134,23725,19658,13686,19893,13424,23568,7997,15137,17880,0,7,2,9,6,5,10,3,6,0.33419,0.52045,0.3772,4,4,4,3,1,1,4,2,1,1,1,1,2,1,4,4.16666666666667,2.33333333333333,3.16666666666667,1.5,2.66666666666667,0.142,0.764,0.792
78,18.0,2,3,4,4,4,5,4,4,1,3,1,5,5,1,5,4,4,5,1,1,2,5,2,4,5,1,4,1,5,4,2,2,0,1,0,0,0,0,2,4,4,4,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,14904,6565,4015,2441,7729,7406,14926,9857,3727,10172,4268,11357,5674,3338,8708,5071,5333,3595,13192,8987,4950,3295,4116,4049,4595,8151,3096,8033,6687,3159,3779,6364,10419,5071,3732,6924,4810,5454,4258,6110,4668,13473,3892,6299,3600,5063,3890,8365,4971,50742,5479,20514,2845,15652,14506,22849,9509,2746,28034,28899,9605,16619,19127,6378,28436,10437,3867,21984,22042,11288,9020,17985,6141,33772,28237,6330,3057,28470,6474,6363,18841,3331,29282,11518,6636,35284,3790,53181,47689,7250,35481,11673,36592,4290,14186,38209,0,0,0,11,11,12,12,1,1,0.0,1.0,0.91667,4,5,5,5,5,5,4,1,4,1,5,2,3,1,2,4.33333333333333,4.83333333333333,3.33333333333333,3.66666666666667,2.66666666666667,0.167,0.908,0.739
79,20.0,2,2,4,4,4,5,3,4,1,2,5,5,3,2,4,5,4,5,2,2,2,1,2,2,2,4,4,2,2,2,3,1,1,0,0,0,0,0,1,2,4,4,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2669,2961,2976,4054,4427,3725,3468,31723,2651,2187,4494,2549,3039,2470,3761,2687,4303,2169,2938,2955,1882,3676,2259,4274,3351,2440,3377,5500,7287,2566,2405,3312,2205,2366,5082,3444,2820,3945,3442,2580,4273,3004,3881,3586,2122,1264,4863,3336,13028,18338,20809,11168,15530,14415,15931,40350,14081,21344,29030,24526,33808,13641,28033,17073,27486,23460,17086,18336,17675,12580,18388,32754,25684,32358,30141,29868,38247,24184,15703,20110,17853,14422,46369,21525,14957,25478,17784,30857,19566,19668,42161,35826,29250,16672,15970,26883,0,9,2,8,5,3,10,4,7,0.41718,0.51467,0.14724,4,4,4,4,5,4,4,4,4,1,1,2,4,3,4,4.0,4.33333333333333,3.83333333333333,1.5,3.83333333333333,0.125,0.958,0.708
